name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Verizon Communications,Mobile,30079503000,ipo,USA,NY,New York,5,2015-04-19,2010-01-26,2014-02-28
Uber,Real Time,7007450000,operating,USA,CA,San Francisco,12,,2009-08-01,2015-08-19
Sberbank,Finance,5800000000,ipo,RUS,,Moscow,1,2014-04-01,2014-07-07,2014-07-07
Clearwire,Mobile,5720000000,acquired,USA,WA,Kirkland,5,2012-06-01,2001-12-11,2013-02-27
Charter Communications,Telecommunications,5162513431,ipo,USA,CT,Stamford,2,,2009-11-21,2014-09-15
Alibaba,E-Commerce,4812000000,ipo,CHN,,Hangzhou,7,2012-10-26,1999-10-01,2014-04-01
Ping An,Insurance,4745460219,operating,CHN,,,1,2010-05-01,2014-12-01,2014-12-01
MediaVast,Broadcasting,4715000000,acquired,USA,NY,New York,2,2011-04-01,2003-06-30,2006-05-17
Suning,E-Commerce,4630000000,ipo,CHN,,Nanjing,1,2006-07-09,2015-08-10,2015-08-10
First Data Corporation,Trading,3500000000,operating,USA,GA,Atlanta,1,,2014-07-03,2014-07-03
Didi Kuaidi,Transportation,3418000000,operating,CHN,,Beijing,6,2014-01-01,2012-09-01,2015-07-07
COFCO,Animal Feed,3200000000,operating,CHN,,,1,2011-10-10,2014-02-22,2014-02-22
Flipkart,Online Shopping,3151140000,operating,IND,,Bangalore,12,,2009-01-01,2015-07-28
Reliance Jio Infocomm Ltd.,Information Technology,3000000000,operating,IND,,Mumbai,3,2007-01-01,2014-09-25,2015-05-13
Facebook,Communities,2425700000,ipo,USA,CA,Menlo Park,11,2010-01-01,2004-09-01,2011-01-21
Carestream,Biotechnology,2400000000,operating,USA,NY,Rochester,1,,2013-06-12,2013-06-12
Airbnb,Travel,2294820000,operating,USA,CA,San Francisco,7,2012-03-01,2009-01-01,2015-06-28
Zebra Technologies,Enterprise Software,2000000000,ipo,USA,IL,Lincolnshire,1,2014-12-01,2014-09-16,2014-09-16
Quad/Graphics,Local Businesses,1900000000,ipo,USA,WI,Sussex,1,2012-01-01,2014-04-28,2014-04-28
Netflix,Entertainment,1730000000,ipo,USA,CA,Los Gatos,3,,1999-07-07,2015-02-02
Palantir Technologies,Analytics,1571557151,operating,USA,CA,Palo Alto,15,1986-01-01,2005-09-01,2015-07-23
Solyndra,Manufacturing,1567504319,closed,USA,CA,Fremont,8,1984-01-01,2006-01-01,2011-06-16
Snapdeal,E-Commerce,1562700000,operating,IND,,New Delhi,9,2013-10-24,2011-01-01,2015-08-18
Cardinal Health,Health and Wellness,1500000000,ipo,USA,OH,Dublin,1,2012-02-01,2006-08-16,2006-08-16
Venari Resources,Oil and Gas,1498515340,operating,USA,TX,Addison,1,2013-12-07,2014-07-23,2014-07-23
Fisker Automotive,Automotive,1451000000,acquired,USA,CA,Irvine,9,2013-01-01,2008-01-14,2012-04-02
Xiaomi,Mobile,1447000000,operating,CHN,,Beijing,6,2001-01-01,2010-12-01,2015-04-27
Avant,Machine Learning,1434000000,operating,USA,IL,Chicago,9,2008-01-01,2013-05-08,2015-04-13
Coupang,E-Commerce,1400000000,operating,KOR,,Seoul,3,2009-01-01,2014-05-28,2015-06-02
Delivery Hero,Hospitality,1390267370,operating,DEU,,Berlin,12,2008-01-01,2010-12-01,2015-06-07
O3b Networks,Enterprise Software,1371634404,operating,NLD,,The Hague,9,2010-07-01,2009-06-03,2014-04-22
Youku,Photography,1320000000,ipo,CHN,,Shanghai,6,2008-01-01,2006-03-01,2014-04-28
Pinterest,Social Bookmarking,1315500000,operating,USA,CA,San Francisco,9,2010-11-20,2010-01-01,2015-05-08
Space Exploration Technologies,Space Travel,1245460000,operating,USA,CA,Hawthorne,7,2012-01-01,2006-03-01,2015-01-20
Cape Wind,Clean Technology,1200000000,operating,USA,MA,Boston,3,2009-01-01,2013-06-18,2014-03-26
Terra-Gen Power,Clean Technology,1200000000,acquired,USA,NY,New York,1,,2010-07-21,2010-07-21
Snapchat,File Sharing,1185585000,operating,USA,CA,Pacific Palisades,8,,2012-05-01,2015-05-29
Wave,Internet,1180000000,operating,USA,WA,Kirkland,2,2011-09-16,2012-11-14,2015-05-21
Twitter,MicroBlogging,1160166511,ipo,USA,CA,San Francisco,8,2000-01-01,2007-07-01,2011-09-08
Juno Therapeutics,Biotechnology,1159803496,ipo,USA,WA,Seattle,4,2009-04-01,2013-12-03,2015-07-14
SurveyMonkey,Software,1150000000,operating,USA,CA,Palo Alto,5,2013-07-08,2009-04-20,2014-12-15
Groupon,Retail,1137000000,ipo,USA,IL,Chicago Heights,6,2009-07-01,2007-01-01,2011-02-25
Rocket Internet,Internet,1119500000,ipo,DEU,,Berlin,4,,2014-02-01,2015-02-13
Bloom Energy,Clean Technology,1110000000,operating,USA,CA,Sunnyvale,6,2012-01-01,2008-01-01,2015-01-27
Dropbox,Storage,1107215000,operating,USA,CA,San Francisco,6,2012-01-01,2007-06-01,2014-04-06
Xerox,Hardware + Software,1100000000,ipo,USA,CT,Norwalk,1,2012-01-01,2012-03-15,2012-03-15
Meituan.com,E-Commerce,1070000000,operating,CHN,,Beijing,4,2010-01-01,2010-08-01,2015-01-19
Spotify,Music,1063779080,operating,SWE,,Stockholm,9,2013-01-05,2008-10-01,2015-06-10
"Sirius XM Radio, Inc.",Music,1055750000,ipo,USA,MI,Detroit,2,,2009-02-01,2009-06-22
SolarCity,Clean Technology,1045040000,ipo,USA,CA,San Mateo,13,,2006-09-15,2013-06-18
SunEdison,Clean Technology,1043300000,acquired,USA,MD,Beltsville,7,2011-10-01,2008-05-23,2015-06-16
Cloudera,Enterprise Software,1041000000,operating,USA,CA,Palo Alto,8,,2009-03-16,2014-09-01
Dianping,Guides,1041000000,operating,CHN,,Shanghai,5,,2006-04-01,2015-03-12
Lyft,Software,1012500000,operating,USA,CA,San Francisco,8,2013-07-17,2009-06-01,2015-05-15
Legendary Entertainment,Games,1008000000,operating,USA,CA,Burbank,4,2013-01-01,2011-04-06,2014-10-03
WeWork,Social Media,1002784331,operating,USA,NY,New York,6,2011-04-12,2012-01-30,2015-06-25
AOL,News,1000000000,acquired,USA,NY,New York,1,2012-02-01,2005-12-01,2005-12-01
BlackBerry,Wireless,1000000000,ipo,CAN,ON,Waterloo,1,2011-10-07,2013-11-04,2013-11-04
Motorola Solutions,Public Safety,1000000000,acquired,USA,IL,Schaumburg,1,2012-01-01,2015-08-05,2015-08-05
Peabody Energy,Clean Technology,1000000000,ipo,USA,MO,St Louis,1,2008-01-01,2015-03-18,2015-03-18
Kuaidi Dache,Transportation,950000000,acquired,CHN,,Hangzhou,3,1997-05-01,2013-10-01,2015-01-15
The Exchange,Politics,940000000,operating,USA,TX,Dallas,3,2013-01-01,2009-07-16,2012-04-02
LivingSocial,E-Commerce,934725004,operating,USA,DC,Washington,10,2014-07-07,2008-07-21,2013-02-20
ZhongAn,Insurance,931300000,operating,,,,1,2008-01-01,2015-06-12,2015-06-12
Better Place,Clean Technology,925000000,acquired,USA,CA,Palo Alto,6,,2007-11-01,2012-11-02
SoftViaNet,Apps,915000000,operating,GBR,,London,1,2010-12-10,2000-10-16,2000-10-16
Meizu,Mobile Commerce,890000000,operating,CHN,,Zhuhai,2,2012-01-01,2014-07-22,2015-02-09
Qunar.com,Travel,890000000,ipo,CHN,,Beijing,8,2007-01-01,2006-08-01,2015-06-01
58.com,Curated Web,876780000,ipo,CHN,,Chaoyang,6,,2006-02-01,2014-06-27
DepoMed,Pharmaceuticals,875000000,ipo,USA,CA,Newark,2,2010-01-01,2014-09-04,2015-03-13
Zynga,Facebook Applications,866550786,ipo,USA,CA,San Francisco,9,2010-01-11,2007-01-01,2011-02-18
BrightSource Energy,Solar,845000000,ipo,USA,CA,Oakland,9,2010-01-01,2006-11-01,2013-07-25
FireEye,Network Security,840945776,ipo,USA,CA,Milpitas,7,2012-01-12,2005-01-01,2014-01-10
NMC Health,Health Care,825000000,operating,ARE,,Abu Dhabi,1,,2015-02-15,2015-02-15
Tesla Motors,Automotive,823000000,ipo,USA,CA,Palo Alto,11,,2004-04-01,2012-10-10
Jawbone,Personal Health,818799995,operating,USA,CA,San Francisco,12,2011-05-01,2006-12-15,2015-04-30
Alibaba Pictures Group Limited,Film Production,804000000,ipo,HKG,,Admiralty,1,2011-04-19,2014-03-01,2014-03-01
Jack in the Box,Hospitality,800000000,ipo,USA,CA,San Diego,1,2014-11-17,2014-03-24,2014-03-24
Envision Healthcare,Hospitals,781310880,closed,USA,CO,Greenwood Village,2,2006-01-01,2011-11-10,2014-06-18
SoFi,Financial Services,766199900,operating,USA,CA,San Francisco,10,2009-05-15,2011-09-19,2015-01-30
Intarcia Therapeutics,Biotechnology,759305937,operating,USA,CA,Hayward,10,2013-04-24,2004-11-17,2015-04-27
University of Maryland,Education,750500000,operating,USA,MD,College Park,2,2011-01-01,2013-09-17,2014-02-06
BMC Software,Software,750000000,ipo,USA,TX,Houston,1,1990-01-01,2014-04-08,2014-04-08
Chobani,Food Processing,750000000,operating,USA,NY,Norwich,1,2014-01-01,2014-04-24,2014-04-24
Moda Midstream,Logistics,750000000,operating,USA,TX,Houston,1,2004-01-01,2015-03-17,2015-03-17
Salix Pharmaceuticals,Health and Wellness,750000000,acquired,USA,NC,Raleigh,1,2007-01-01,2014-01-10,2014-01-10
St. George's University,Colleges,750000000,operating,GRD,,Saint George's,1,,2014-08-08,2014-08-08
CAN Capital,Finance,743000000,operating,USA,NY,New York,4,2005-01-01,2011-02-07,2015-04-02
Telefonica,Public Relations,743000000,ipo,ESP,,Madrid,1,2006-01-01,2013-09-09,2013-09-09
Comcast,Web Hosting,725000000,ipo,USA,PA,Philadelphia,1,1991-01-01,2013-05-08,2013-05-08
Compass Diversified Holdings,Financial Services,725000000,ipo,USA,CT,Westport,1,2009-01-19,2014-06-09,2014-06-09
Lazada Group,E-Commerce,710367240,operating,MYS,,Kuala Lumpur,6,2006-06-01,2012-11-11,2014-11-29
Alnylam Pharmaceuticals,Health Care,710000000,ipo,USA,MA,Cambridge,2,2012-11-01,2011-03-28,2014-01-13
PPTV,Photography,706500000,acquired,CHN,,Shanghai,5,2012-01-01,2005-01-01,2013-10-01
Fanatics,E-Commerce,695000000,acquired,USA,FL,Jacksonville,4,2013-01-01,2012-06-07,2015-08-25
Tuniu,Travel,695000000,ipo,CHN,,Nanjing,6,,2009-03-01,2015-05-08
Intime Retail,E-Commerce,692000000,operating,,,,1,2012-12-01,2014-03-01,2014-03-01
Seagate Technology,Hardware,681759114,ipo,IRL,,Dublin,1,2009-08-26,2011-12-28,2011-12-28
Sunrun,Clean Technology,681600000,ipo,USA,CA,San Francisco,10,2008-06-30,2008-06-20,2015-01-09
VF Corporation,Sports,680611554,ipo,USA,WA,Bothell,1,2013-11-01,2010-08-13,2010-08-13
GrabTaxi,Travel,680000000,operating,SGP,,Midview City,5,2011-02-01,2014-04-07,2015-08-19
NantHealth,Health and Wellness,680000000,operating,USA,CA,Culver City,5,2010-01-01,2012-10-25,2015-07-01
Ola,E-Commerce,676830000,operating,IND,,Kolkata,6,,2011-04-21,2015-04-15
Moderna Therapeutics,Biotechnology,674600044,operating,USA,MA,Cambridge,5,2013-07-18,2012-12-06,2015-01-05
Beacon Holding,Investment Management,674598700,operating,USA,CA,Los Angeles,1,2002-01-01,2011-09-30,2011-09-30
Hanwha SolarOne,Clean Technology,670000000,ipo,CHN,,Shanghai,2,2012-01-01,2013-06-27,2013-12-02
Sabre,Curated Web,645496464,acquired,USA,TX,Southlake,1,2011-01-01,2014-04-23,2014-04-23
i-Cube,Application Platforms,640250000,ipo,USA,MA,Cambridge,2,2012-01-01,1998-02-01,1999-06-01
GENBAND,Web Hosting,631507662,operating,USA,TX,Plano,10,,2001-07-16,2013-01-04
Helios Towers Africa,Telecommunications,630000000,operating,GBR,,London,1,2009-05-01,2014-07-10,2014-07-10
Enel OGK-5,Clean Technology,625000000,operating,RUS,,Moscow,1,2011-01-01,2012-03-16,2012-03-16
Laclede Group,Utilities,625000000,ipo,USA,MO,St Louis,1,2013-01-25,2014-08-12,2014-08-12
IHS Holding,Mobile,620000000,operating,GBR,,London,3,2011-10-01,2014-03-03,2014-04-17
Integra Telecom,Public Relations,617000000,ipo,USA,OR,Portland,1,2012-08-01,2009-11-30,2009-11-30
Vertex Pharmaceuticals,Biotechnology,600397225,ipo,GBR,,Abingdon,4,2007-01-01,2009-03-17,2009-12-03
Pebblebrook Hotel Trust,Real Estate,600000000,ipo,USA,MD,Bethesda,1,2001-01-01,2014-10-17,2014-10-17
Rede D'Or Sao Luiz,Hospitals,600000000,operating,BRA,,Rio De Janeiro,1,2009-08-01,2015-04-28,2015-04-28
Magic Leap,Video,592000000,operating,USA,FL,Dania,2,2014-09-19,2014-02-05,2014-10-21
Square,Mobile Payments,590500000,operating,USA,CA,San Francisco,9,2011-12-01,2009-11-01,2015-04-01
ZeniMax,Games,588174854,operating,USA,MD,Rockville,9,,2007-10-01,2015-06-12
Sina Weibo,Curated Web,586000000,ipo,CHN,,Haidian,1,2000-10-01,2013-04-29,2013-04-29
Kabbage,Finance,585363500,operating,USA,GA,Atlanta,11,2011-01-01,2010-01-14,2015-07-24
One97 Communications,Mobile,585000000,operating,IND,,New Delhi,4,2010-01-01,2008-10-23,2015-01-11
Zenefits,Human Resources,583600000,operating,USA,CA,San Francisco,4,2000-05-01,2013-07-26,2015-05-06
ABILITY Network,Health Care,583000000,operating,USA,MN,Minneapolis,4,2008-01-01,2006-12-14,2014-04-07
Wish,Mobile,578700000,operating,USA,CA,San Francisco,5,2006-09-01,2010-10-21,2015-06-03
Qihoo 360 Technology,Curated Web,575400000,ipo,CHN,,Beijing,4,2011-11-18,2006-01-01,2013-08-28
CoreExpress,Services,573000000,acquired,USA,VA,Herndon,1,2012-01-01,2000-06-12,2000-06-12
VANCL,E-Commerce,570000000,operating,CHN,,Beijing,5,,2010-04-01,2014-02-10
Vice Media,Video Streaming,570000000,operating,USA,NY,Brooklyn,3,2007-09-01,2013-08-01,2014-09-04
Casey's General Stores,E-Commerce,569000000,ipo,USA,IA,Ankeny,1,2013-05-01,2010-08-23,2010-08-23
Extended Stay America,Hospitality,565000000,ipo,USA,NC,Charlotte,1,2004-01-01,2013-11-12,2013-11-12
Vivint,Security,565000000,operating,USA,UT,Provo,1,2012-06-01,2010-10-04,2010-10-04
GreatPoint Energy,Clean Technology,562000000,operating,USA,MA,Cambridge,5,,2005-11-15,2012-02-17
Box,File Sharing,558950000,ipo,USA,CA,Los Altos,11,,2005-09-01,2014-07-01
FriendFinder Networks,Games,551200000,ipo,USA,FL,Boca Raton,1,2009-10-16,2010-10-28,2010-10-28
Tenaska,Energy,550000000,operating,USA,NE,Omaha,1,1998-01-01,2003-04-17,2003-04-17
G4S,Security,541000000,acquired,GBR,,,1,2010-01-01,2013-08-28,2013-08-28
M.Setek,Design,540000000,operating,JPN,,Tokyo,1,2005-09-01,2010-01-29,2010-01-29
Invenergy,Clean Technology,534400000,operating,USA,IL,Chicago,4,2009-02-01,2009-01-21,2014-10-07
Hundsun Technologies,Finance,532000000,operating,CHN,,Zhenjiang,1,2006-04-01,2014-04-02,2014-04-02
Pure Storage,Enterprise Software,530856468,operating,USA,CA,Mountain View,8,2011-06-01,2009-10-01,2014-08-11
Hamilton Insurance Group,Finance,526666000,operating,BMU,,Hamilton,1,2014-07-15,2013-12-01,2013-12-01
Quintiles,Biotechnology,526000000,ipo,USA,TX,Austin,2,,2009-12-21,2013-06-12
First Wind,Clean Technology,522000000,acquired,USA,MA,Boston,3,,2010-12-23,2012-03-20
Nanosolar,Clean Technology,520000000,operating,USA,CA,San Jose,6,,2003-06-24,2012-06-01
Mobileye,Automotive,515000000,ipo,NLD,,,3,,2006-05-11,2013-07-07
Abound Solar,Solar,510000000,closed,USA,CO,Loveland,2,2007-01-01,2010-07-06,2010-12-15
baixing.com,Classifieds,510000000,operating,CHN,,Shanghai,6,2007-08-01,2005-04-01,2015-07-22
Rouse Properties,Real Estate,510000000,ipo,USA,NY,New York,1,2006-01-01,2013-11-25,2013-11-25
DocuSign,Cloud Management,508099999,operating,USA,CA,San Francisco,14,2009-01-01,2003-01-01,2015-05-27
Deem,E-Commerce,504985435,operating,USA,CA,San Francisco,9,2010-01-01,2004-01-01,2014-07-23
HomeAway,Travel,504678374,ipo,USA,TX,Austin,5,2013-01-01,2005-01-01,2010-10-01
A123 Systems,Batteries,502860000,ipo,USA,MA,Westborough,8,,2005-11-01,2012-06-07
Privalia,E-Commerce,501642500,operating,ESP,,Barcelona,4,2010-01-01,2010-10-04,2013-05-14
ACT (Atria Convergence Technologies Pvt. Ltd.),Internet Service Providers,500000000,operating,IND,,Bangalore,1,2010-08-07,2015-07-01,2015-07-01
Beats Electronics,Music,500000000,acquired,USA,CA,Santa Monica,1,,2013-09-27,2013-09-27
California Emerging Ventures Funds,,500000000,operating,,,,1,2001-01-01,2001-03-22,2001-03-22
Hersha Hospitality Trust,Hospitality,500000000,operating,USA,PA,Philadelphia,1,2012-01-01,2014-03-10,2014-03-10
Independence Resources Management,Gas,500000000,operating,,,,1,,2015-03-31,2015-03-31
Luxe Energy,Energy,500000000,operating,USA,TX,Austin,1,2004-01-01,2015-05-04,2015-05-04
Magna Energy,Oil and Gas,500000000,operating,,,,1,2011-01-01,2015-06-22,2015-06-22
Matahari Mall,Retail,500000000,operating,IDN,,Jakarta,1,2012-07-25,2015-02-25,2015-02-25
Navitas Midstream Partners,Oil & Gas,500000000,operating,USA,TX,The Woodlands,1,,2014-06-05,2014-06-05
Netafim,Clean Technology,500000000,operating,ISR,,,1,2008-01-01,2015-03-06,2015-03-06
OneWeb,Technology,500000000,operating,GBR,,London,1,,2015-06-26,2015-06-26
Partners Group,,500000000,operating,,,,1,2006-09-01,2015-03-06,2015-03-06
Seplat Petroleum Development Company,Energy,500000000,operating,NZL,,Ngahere,1,2009-01-01,2014-04-09,2014-04-09
Three Rivers Natural Resource Holdings III,Oil & Gas,500000000,operating,USA,TX,Austin,1,2003-01-01,2015-04-09,2015-04-09
Datapipe,Web Hosting,487358426,operating,USA,NJ,Jersey City,3,2012-04-12,2008-07-08,2013-05-31
WSP Global,Environmental Innovation,486000000,acquired,CAN,ON,Quí©bec,2,2008-01-01,2014-03-31,2014-10-01
Lufax,Internet,485000000,operating,CHN,,Shanghai,1,,2015-04-16,2015-04-16
Domo,Web Development,483687225,operating,USA,UT,American Fork,8,2008-10-01,2008-08-01,2015-07-22
Renren Inc.,Social Media,478000000,ipo,CHN,,Chaoyang,2,2010-07-01,2006-03-11,2008-04-30
University of Ulster,Education,477475356,operating,GBR,,Coleraine,2,,2014-02-27,2014-02-27
inVentiv Health,Clinical Trials,475000000,operating,USA,MA,Burlington,1,2009-01-01,2014-08-27,2014-08-27
China Everbright International,Clean Technology,472000000,operating,HKG,,Hong Kong,1,,2013-12-12,2013-12-12
MiaSolí©,Clean Technology,466000000,acquired,USA,CA,Santa Clara,5,2011-12-01,2006-10-31,2012-03-07
Horizon Pharma,Biotechnology,462000000,ipo,USA,IL,Northbrook,3,,2009-07-22,2014-06-19
Bigpoint,Publishing,460488000,operating,DEU,,Hamburg,2,2008-01-01,2008-06-09,2011-04-26
View,Solar,460244466,operating,USA,CA,Milpitas,11,2010-01-01,2009-06-11,2015-08-13
Youxinpai,E-Commerce,460000000,operating,CHN,,Beijin,3,2011-05-01,2013-04-01,2015-03-18
Ironwood Pharmaceuticals,Health Care,459000000,ipo,USA,MA,Cambridge,8,2011-09-01,1999-01-01,2013-01-10
SoloPower,Clean Technology,458089999,acquired,USA,CA,San Jose,10,,2007-03-05,2012-10-15
Singapore Post,Postal and Courier Services,456850000,operating,SGP,,Singapore,2,2012-01-01,2014-05-01,2015-07-08
Ele.me,E-Commerce,455000000,operating,CHN,,Shanghai,5,2015-01-31,2011-01-01,2015-01-27
Tujia,Travel,455000000,operating,CHN,,Beijing,4,,2012-05-16,2015-08-03
Sonos,Consumer Electronics,453949974,operating,USA,CA,Santa Barbara,9,1998-02-15,2005-01-01,2014-12-03
Hologic,Biotechnology,450000000,ipo,USA,MA,Bedford,1,2010-01-01,2010-11-30,2010-11-30
Tyco Electronics Group,Security,449300000,operating,LUX,,Luxembourg,1,2004-01-01,2007-11-13,2007-11-13
Sogou,Search,448000000,operating,CHN,,Beijing,1,2011-12-26,2013-09-10,2013-09-10
JD.com,E-Commerce,446000000,ipo,CHN,,Beijing,5,2013-09-13,2007-08-01,2010-01-01
Crucell,Biotechnology,443000000,acquired,NLD,,Leiden,1,2007-09-01,2009-09-28,2009-09-28
ARYZTA AG,Food Processing,442182454,ipo,CHE,,Zí_rich,1,1999-11-23,2015-03-25,2015-03-25
DealerTrack,Business Services,436180930,acquired,USA,NY,Hempstead,2,2010-08-01,2002-04-01,2014-03-06
Piramal Realty,Real Estate,434000000,operating,IND,,Mumbai,2,,2015-07-22,2015-08-17
Mevion Medical Systems,Health Care,428335853,operating,USA,MA,Littleton,7,2011-02-17,2009-01-01,2015-08-11
OnDeck,Finance,428000000,ipo,USA,NY,New York,9,2004-05-01,2006-01-01,2014-03-06
First Solar,Clean Technology,427700000,ipo,USA,AZ,Tempe,1,2008-01-01,2013-06-18,2013-06-18
Liberty Global,Web Hosting,422921270,ipo,USA,CO,Englewood,1,2012-01-25,2014-03-27,2014-03-27
Abril,Education,422000000,operating,BRA,,Sí£o Paulo,1,,2006-05-09,2006-05-09
eHi Car Rental,E-Commerce,420000000,ipo,CHN,,Shanghai,5,,2008-03-01,2015-05-26
Privia Health,Physicians,417500000,operating,USA,VA,Arlington,3,,2010-12-22,2014-09-16
Puma Biotechnology,Biotechnology,417300249,ipo,USA,CA,Los Angeles,3,1984-01-01,2011-10-12,2015-01-27
Amyris Biotechnologies,Renewable Energies,417040423,ipo,USA,CA,Emeryville,10,2012-12-04,2006-10-12,2012-02-27
Cutwater Asset Management,Financial Services,415000000,operating,USA,NY,Armonk,1,,2014-07-31,2014-07-31
Raven Power Finance,Fuels,415000000,operating,USA,MD,Baltimore,1,2007-03-01,2014-01-06,2014-01-06
Alitalia,Travel,412000000,operating,ITA,,Rome,1,2013-04-01,2013-12-10,2013-12-10
QuantRx Biomedical,Biotechnology,406039700,operating,USA,OR,Tualatin,1,2013-09-16,2009-08-14,2009-08-14
MANGO BCN,Fashion,402684563,operating,ESP,,Barcelona,1,2013-01-23,2014-08-05,2014-08-05
Adaptive Biotechnologies,Biotechnology,401499480,operating,USA,WA,Seattle,5,2012-07-01,2013-09-13,2015-05-07
Alere,Hardware + Software,400000000,acquired,USA,MA,Waltham,1,2014-03-01,2010-09-21,2010-09-21
Brash Entertainment,Games,400000000,operating,USA,CA,Los Angeles,1,2010-09-01,2007-06-03,2007-06-03
Fujian Sunner Development,Farming,400000000,operating,CHN,,Nanping,1,2007-09-01,2014-08-26,2014-08-26
Regency Energy Partners,Natural Gas Uses,400000000,ipo,USA,TX,Dallas,1,2015-05-01,2014-06-04,2014-06-04
Webvan,Commodities,400000000,closed,USA,WA,Seattle,2,2007-01-01,1998-01-01,1999-07-23
GMR Group,Consulting,398350000,operating,IND,,Bangalore,1,,2014-01-27,2014-01-27
Social Finance,Nonprofits,398000000,operating,USA,MA,Boston,4,1998-01-01,2012-09-12,2015-02-02
Reata Pharmaceuticals,Biotechnology,396949840,operating,USA,TX,Irving,4,2000-01-01,2009-09-25,2011-07-13
21viaNet,Web Hosting,396000000,ipo,CHN,,Beijing,5,2005-01-01,2008-02-13,2014-12-04
Sunnova,Utilities,395000000,operating,USA,TX,Houston,3,2008-01-01,2014-05-09,2014-11-20
Intercept Pharmaceuticals,Biotechnology,393400000,ipo,USA,NY,New York,3,2010-01-01,2010-01-25,2015-04-01
Lending Club,Finance Technology,392230000,ipo,USA,CA,San Francisco,13,2007-07-01,2007-05-01,2014-07-15
Cogeco Cable,News,390000000,ipo,CAN,QC,Montrí©al,2,2006-03-28,2013-06-28,2014-09-08
The Frankfurt Group & Holdings,Investment Management,390000000,operating,USA,TX,Fort Worth,1,,2008-01-15,2008-01-15
Nook Media,Mobile,389500000,operating,USA,NY,New York,2,2000-01-01,2012-01-01,2012-12-29
Symphogen,Biotechnology,387185400,operating,DNK,,Lyngby,6,2012-01-01,2006-01-10,2013-05-03
TransEnterix,Health Care,385891470,ipo,USA,NC,Durham,10,2013-01-01,2009-10-07,2015-06-15
Answers Corporation,Information Technology,384410000,acquired,USA,MO,Saint Louis,9,,1999-01-01,2014-10-22
Billabong International,Fashion,382106890,operating,AUS,,Burleigh Heads,2,2009-08-01,2012-07-20,2013-07-16
Oxford Nanopore Technologies,Nanotechnology,379865383,operating,GBR,,Oxford,9,2011-12-12,2005-05-23,2015-07-20
DraftKings,Games,375000000,operating,USA,MA,Boston,6,2006-01-01,2012-07-19,2015-07-26
Xero,Finance,374995300,ipo,NZL,,Wellington,8,2008-01-01,2002-01-07,2015-02-24
Amp'd Mobile,Mobile,374000000,closed,USA,,,4,,2005-08-08,2007-03-21
Controladora Comercial Mexicana,Shopping,373570000,operating,MEX,,Mexico City,1,1999-01-01,2010-11-01,2010-11-01
Boston Power,Technology,370600000,operating,USA,MA,Westborough,9,2014-01-01,2006-11-01,2015-02-02
Ryan,Consulting,370000000,operating,USA,TX,Dallas,2,2013-01-01,2013-01-07,2015-08-16
Tango,Messaging,369247364,operating,USA,CA,Mountain View,5,,2010-06-01,2014-03-19
VMware,Software,368500000,acquired,USA,CA,Palo Alto,2,2010-01-01,2007-07-09,2007-07-30
Credit Karma,Finance,368000000,operating,USA,CA,San Francisco,6,,2008-10-15,2015-06-23
Koudai,E-Commerce,368000000,operating,CHN,,Beijing,5,2011-08-01,2010-01-01,2014-10-23
ADMI Holdings,Finance,367645000,operating,USA,CA,Los Angeles,1,2013-01-10,2010-10-20,2010-10-20
PTC Therapeutics,Biotechnology,367100000,ipo,USA,NJ,South Plainfield,9,2008-01-01,2001-09-19,2015-08-14
Desigual,Design,366681000,operating,ESP,,Barcelona,1,2007-01-01,2014-03-19,2014-03-19
Haier,Home Automation,364000000,operating,IND,,New Delhi,1,2010-06-23,2013-12-08,2013-12-08
MRC Global,Distributors,363000000,ipo,USA,TX,Houston,1,2005-01-01,2015-05-19,2015-05-19
FanDuel,Fantasy Sports,361200000,operating,USA,NY,New York,7,2010-01-01,2007-11-01,2015-07-13
IO.com,Web Hosting,361000000,operating,USA,NJ,Edison,3,,2008-12-10,2011-04-04
Meitu,Social Media,360000000,operating,CHN,,,3,2013-01-01,2011-03-01,2015-04-08
Silver Spring Networks,Web Hosting,358929976,ipo,USA,CA,Redwood City,9,,2007-04-04,2013-03-27
Wayfair,E-Commerce,358000000,ipo,USA,MA,Boston,3,,2011-06-21,2014-03-07
Relypsa,Biotechnology,357129887,ipo,USA,CA,Redwood City,8,2011-01-01,2007-10-29,2014-06-02
Clovis Oncology,Biotechnology,356962756,ipo,USA,CO,Boulder,3,2013-02-18,2009-05-26,2013-11-27
Privlo,Finance,355900000,operating,USA,CA,Pasadena,3,2013-04-01,2013-05-02,2014-07-30
Prosper,Finance,354900000,operating,USA,CA,San Francisco,12,2012-01-01,2005-04-01,2015-04-30
GitHub,Software,350000000,operating,USA,CA,San Francisco,2,,2012-07-09,2015-07-29
iQiyi,Photography,350000000,operating,CHN,,,2,2014-06-18,2010-03-01,2014-11-19
Post Holdings,Hospitality,350000000,operating,USA,MO,Martinsburg,1,2013-01-01,2014-07-29,2014-07-29
POZEN,Pharmaceuticals,350000000,ipo,USA,NC,Chapel Hill,1,2009-01-01,2015-06-08,2015-06-08
Servicelink Holdings,Real Estate,350000000,operating,USA,FL,Jacksonville,1,,2014-02-02,2014-02-02
Stormfisher Biogas,Clean Technology,350000000,operating,CAN,ON,Toronto,1,2014-01-01,2008-02-08,2008-02-08
